,text
0,I go to bed. Joella tucks me in. I get my jammies on. I go to bed. I go to school. put on my clothes. and watch TV. and I drive. and they bring me to school.
1,my mom picks me up. I go home with my mom. and I go to bed. my mom close the shades. then I eat cookies.
2,two princesses first and two babies. and a mother and a father and a sister and a brother and nothing else. they all go for a walk in the park.
3,a princess and a queen and a castle. and two princesses and then two babies. and a sister and a brother. and a kitty cat and a mama and a dog. they go in a park. and they got dunking doughnuts. all finished.
4,a princess and then a prince married her. and then they got cats. and then some dogs. no more.
5,once there was a princess. and then a prince married her. and then we had babies. and then we had the mother and a castle.
6,once there was a princess. and then a king married her. and then we got babies. and then there was a pony. there was black pony. and then there was black beauty. and then that's the end.
7,once there was a princess. then she had babies. they had supper. and then they had pizza.
8,"once there was a princess. and then she got babies. there were two, one is Kita and one is Shita."
9,once there was a princess. and then she got married. and then Ariel comes. and then Ariel got babies. that's the end.
10,once there was a princess. and then a king married her. they got babies.
11,once there was a princess. then she got married. then they got a castle. then they got babies. that's the end.
12,"once there was a princess. then a ballerina came. then a monster came. then there was a king. the princess, the ballerina and the king played together. the monster walked away. then Ariel came. that's all."
13,once there was a princess. then she got married to a prince. then she got babies. then a bad guy came. and then there was Tina. the bad guy knocked the house down. and made a new house. Tina played with the babies.
14,once there was a princess. then she got babies. and then she got married. and then she got a castle. and then they got puppies. and then they got kittens. that's the end.
15,once there was Maureen. then there was me. then there was Claire. then there was Joella. that's the end.
16,once there was a princess. there was a queen. and then there was a dog. and then there was a queen again. then there was a cat. that's the end.
17,once there was a princess. and then there was a prince. then there was a queen and a castle. the prince and princess get married. and the queen rided on a pony. she had a lot of ponies and a unicorn.
18,once there was a princess. and there was a queen. the princess and the queen got married. that's the end.
19,once there was a princess. and then she got married to a prince. and then a unicorn comed. and then there was a queen. and then there was a pony. and that's the end.
20,once there was a princess. and then there was a prince. and then they got married. and there was a pony. and then there was a unicorn. that's the end.
21,once there was me. and then there was Claire. and then there was Maureen. and then there was my sister. and then there was my cat. and then there was my fish. and then we ate cookies.
22,once there was a princess. and then there was a prince. and then there were the babies. and then they rode bikes. and then they went in the car. then there was a unicorn and a pony. they all rided on them. the babies went to sleep. that's the end.
23,"one day while daddy was at work, me and mommy and Maia went to the ice cream store. and had ice cream for a treat. but I don't know what kind mine was."
24,once a princess and then a king. and then they went to a castle. they didn't know who lived there. so they went out of the castle. and then that's the end.
25,once upon a time there was a princess. and then a princess came. and then a king and then a fairy. and then that's the end.
26,"could Kyra come over with her big sister? we'll play Sillies. and after we play Sillies, we'll play Gaga's. and after we play gagas, we'll play beebees. and that's the end."
27,once there was mommy. and then my sister came. then my daddy came. and then myself came. and then we goed to get ice cream.
28,once there was a princess and a prince and a fairy. they were silly. they went sailing. they had a boat. they sailed everywhere where the wolf sailed. the wolf had a boat too. he won the race.
29,once there was princess. and then there was a queen. and then there was a prince. and that's the end.
30,once there was a deer. and a baby deer came. and the baby goed on her mother's back. then the sister deer goed in the house. and they celebrated Hanukkah.
31,once there was my mommy. and then me came. and then my sister came. and then my father came. and then we just goed to the ice cream store. and then that's it.
32,"my mama, my dada. my mama layed on top of my dada. and me came in. and then my sister came in. then we goed to the ice cream store. and then we get ice cream. and then we go home. and then that's the end."
33,we missed breakfast today. we went to school. my mama dropped me off. and my dada picked me up. then we had a pillow fight with my dada. then we ate dinner.
34,once there was my mama. and then there was my dada. then there was my sister. and then there was me. and then there was my babysitter. and then we be mousies. and that's the end.
35,once there was nothing. and then there was a deer. and I saw it. and I petted it. then I took my mom to see it. and then I took my dad to see it. then I took my mom to Ware. and in Ware there was a little girl by herself. and it was me. the end.
36,once there was my bear. and I bring it to school. he googoo at school because he is so silly. and then he goes home. and then we go to bed. and then I put my bear next to my head on my shoulder. and I go to sleep. then we wake up. the end.
37,"mama, me, Goo-goo. I'm Goo-goo. then we go to ice cream. and then I throw the ice cream in my face. and then I go home. and wipe it off. and then me climb a tree. and then me go to see a show. and then me go home. and then me go to sleep. and then we all ride on a duck. and then we go home."
38,"once there was mommy. and then I came. and then when I was a baby we picked Maia up from school. and then dad came home from work. and then me and my mom goed to sleep. and we goed to Alaska. and then we came home. and we had breakfast. and then me go to school. and then when we came home from school, we had a little snack. and then we ate breakfast. and then we waked up. and we played some games. and then we did a little snack. and then we had a little, little night time. and then we waked up. and we did a little, little breakfast. and then we goed for a long, long sleep. that's the end."
39,I was going up the stairs to see my mom and dad. and at the top of the stairs there was a big red dog. but I wasn't scared. so I climbed on his back. and he took me to bed. my mom and dad snuggled together. and I snuggled with the dog. and in the morning the dog ate dog food. and I and my sister and my mom and dad ate people food. and at the other nighttime we goed back to the same thing that happens at nighttime. and then the dog leaved that morning after breakfast. and then we go to school. we came home. that's the end.
40,once upon a time there was a little mouse. the little mouse had pillows. and she slept in the pillows. she played marble games. she ate peanut butter toast and macaroni.
41,sister bear was up in the playhouse jumping rope. brother bear was scooting along on his scooter. Lizzie Bruin came up with sister. she jumped rope with sister.
42,once upon a time there was princess. her name was Sally. another princess and prince met her. and then they had babies. they were a boy and a girl. they did not play at all. they just lay there. they did not fall. their mommy loved them. and they had a daddy too.
43,once upon a time there was a princess. and a prince met her. and he got in a fight with the princess and prince. then they got along. and that's the end.
44,once upon a time there lived a princess and a prince. they had dogs and kittens all over the place. and they had lots of toys to play with. they had kids all over the place too. then they went out for a walk. the end.
45,"once there was a princess. and she lived in a castle. another prince met her. and he had a sleepover. and he went to a playground with the princess. and the princess said "". byebye. when the prince left."
46,once upon a time there lived a princess. and she lived in a castle. she got married. and then she had babies. then she married again. then a bad guy came. the bad guy kicked down their house. and then he made them a new house. the princess and the baby had a pillow fight. the bad guy run away. and did something to another house.
47,once upon a time there was a king. and then he lived in a castle. and then Julia came to Leigh's house. and they were having a party. and it was Leigh's party. and they had cake and stuff. that's the end.
48,"once there was a princess. and then she lived in a castle. a fairy married her. and then they had babies. then they went to go and get ice cream. the baby didn't know what kind of ice cream it was. then they went to a new home. they had a house there. and they had a mouse in the house. and they had lots of puppies, kitty cats and dogs."
49,once there lived a princess. he lived in a castle. he went out for a walk. and he met some people. and she walked along with the princess until they met a fairy. and the fairy walked along a little bit until she disappeared. and then the other people walked along with them. and then a truck came. and then the princess and the prince got married. that's the end.
50,once there lived a princess. and he lived in a castle. and got married. and they got babies. and then they went out for a walk. and they got peed by a dog. and then they went home. and that's the end.
51,once there was a princess. and two babies came. they belonged to the princess. they had lots of puppies and cats and doggies. they went out for a walk. they found another princess. and then they found a prince. that's all.
52,once there lived a princess. she met a prince. they got married. and they had babies. and then they had lots of kitties and dogs and puppies and cats. everybody went for a walk in the park. and that's it.
53,once there lived a princess. and she went out for a walk. and met a prince. then she went back home. and then she got married. and they had babies. and then they had lots of doggies and kitties. and then another princess came along. and that's the end.
54,once upon a time there was a princess. she went for a walk. she went back home. got married. had babies. then they had lots of doggies and kitties. and that's the end.
55,once there lived a princess. she went for a walk. and then she met a prince. they got married. and they had babies. they had lots of doggies and kitties.
56,once there lived a princess. she went for a walk. and she met a prince. and they went back home. and they got married. and then they had babies. they had lots of doggies and kitties. that's the end.
57,once there was a princess. and she went for a walk. she met a prince. and they went home. and then they got married. then they had babies and lots of doggies and kitties. that's it.
58,once there was a princess. and she went for a walk. and she met a prince. and she went back home. she got married. and they had babies. and they had lots of kitties and doggies. and that's the end.
59,once there lived a princess. and she went for a walk. and then she met a prince. and they went back home. and they got married. and then they had babies. and then there were lots of puppies and kitties. and that's the end.
60,once there lived a princess. and she went for a walk. and then she met a prince. and they went back home. and they got married. and then they had babies. and then there were lots of puppies and kitties. and that's the end.
61,once upon a time there was a princess. she went for a walk. and she met a prince. and she went home. and she had babies. and she got married. and then she had some more babies. then she had lots of doggies and kitties and puppies and kittens. then they did nothing. that's the end.
62,once there was a little prince. and there was some children who didn't love the prince because the prince was so nasty. and then she wasn't fearless because the children weren't so fearless too. and then she had beautiful hair. and she married the prince. and then nothing happened.
63,"once there was a prince. and it had a baby. and she had a silly grandmother because there was ants in the house. and all the ants were in the house because they sneaked in by the door, the little tiny screen door. and then they married. and they had babies. and they had babies because they were happy to have babies. and then they lived happily ever after. now it's the end."
64,once there was a little boy and girl. and then their mommy and daddy came. and showed that they were in a haunted house. and they goed home. and they slept in their beds. they thought they were in their house. but they weren't. then they writed on a piece on paper. and then they saw a witch. she put the people in jail. that's the end.
