word1	word2	SimLex999	POS
oud	nieuw	1.94	A
slim	intelligent	8.19	A
hard	moeilijk	4.46	A
gelukkig	vrolijk	6.49	A
hard	stoer	5.69	A
snel	razendsnel	7.18	A
gelukkig	blij	7.09	A
kort	lang	1.78	A
dom	stom	4.67	A
vreemd	eigenaardig	7.41	A
breed	smal	1.79	A
slecht	vreselijk	5.91	A
makkelijk	moeilijk	2.17	A
slecht	vreselijk	7.53	A
moeilijk	gemakkelijk	1.92	A
slim	dom	2.72	A
krankzinnig	gek	8.02	A
gelukkig	kwaad	2.95	A
uitgebreid	groot	5.58	A
moeilijk	simpel	2.24	A
nieuw	vers	6.69	A
scherp	saai	0.95	A
vlug	snel	8.95	A
dom	dwaas	6.57	A
prachtig	fantastisch	6.30	A
eigenaardig	vreemd	8.56	A
gelukkig	boos	0.98	A
smal	breed	3.59	A
eenvoudig	gemakkelijk	9.04	A
oud	vers	1.69	A
kennelijk	duidelijk	4.04	A
betaalbaar	goedkoop	6.43	A
leuk	grootmoedig	2.06	A
raar	vreemd	8.40	A
vreemd	normaal	1.81	A
slecht	immoreel	6.44	A
verdrietig	grappig	1.68	A
prachtig	geweldig	6.85	A
schuldig	beschaamd	3.54	A
mooi	prachtig	7.24	A
zelfverzekerd	zeker	7.49	A
dom	onderontwikkeld	4.56	A
groot	flexibel	1.63	A
aardig	wreed	1.28	A
ongeduldig	nerveus	4.22	A
groot	breed	4.40	A
sterk	trots	4.09	A
onnodig	noodzakelijk	1.71	A
onrustig	jong	1.37	A
dom	intelligent	2.62	A
slecht	geweldig	1.75	A
moeilijk	eenvoudig	2.25	A
noodzakelijk	belangrijk	8.22	A
slecht	verschrikkelijk	6.93	A
boos	blij	2.16	A
eerlijk	schuldig	1.18	A
makkelijk	zwaar	2.17	A
makkelijk	flexibel	5.85	A
stellig	zeker	5.41	A
essentieel	noodzakelijk	8.55	A
anders	normaal	1.16	A
sluw	slim	4.08	A
cruciaal	belangrijk	8.59	A
hard	wreed	7.02	A
kinderachtig	dwaas	3.41	A
zelden	zeldzaam	6.09	A
vriendelijk	vrijgevig	4.57	A
breekbaar	kil	1.35	A
lang	smal	3.08	A
groot	zwaar	5.20	A
ruw	koel	1.39	A
bizar	vreemd	8.11	A
illegaal	immoreel	3.39	A
slecht	schuldig	3.77	A
modern	oud	1.15	A
nieuw	oud	2.18	A
saai	grappig	1.91	A
gelukkig	jong	1.78	A
makkelijk	groot	0.96	A
geweldig	vreselijk	2.00	A
klein	enorm	1.82	A
beleefd	gepast	6.28	A
bescheiden	beschaamd	3.87	A
exotisch	zeldzaam	5.10	A
dom	slim	2.95	A
heerlijk	prachtig	4.76	A
opvallend	duidelijk	6.18	A
angstig	bang	9.06	A
formeel	juist	2.50	A
somber	saai	3.94	A
heerlijk	vrolijk	3.03	A
ongelukkig	kwaad	3.10	A
verdrietig	vreselijk	5.15	A
ziek	gek	2.30	A
gewelddadig	boos	3.48	A
beladen	zwaar	7.33	A
vuil	goedkoop	1.44	A
elastisch	flexibel	7.32	A
hard	dicht	1.33	A
onlangs	nieuw	3.45	A
brutaal	trots	1.67	A
sluw	vreemd	2.99	A
vreemd	sluw	2.32	A
dom	zeldzaam	1.20	A
sluw	koppig	1.54	A
fantastisch	kwaad	0.95	A
bescheiden	flexibel	1.42	A
vers	breed	1.29	A
enorm	sprakeloos	0.99	A
groot	enorm	7.53	A
vuil	smal	1.68	A
echtgenote	echtgenoot	7.60	N
boek	tekst	5.78	N
bruidegom	bruid	5.95	N
nacht	dag	4.55	N
zuid	noord	2.93	N
vliegtuig	luchthaven	5.12	N
oom	tante	4.11	N
paard	merrie	7.07	N
onderkant	bovenkant	3.50	N
vriend	maat	7.25	N
student	leerling	7.77	N
wereld	wereldbol	4.46	N
been	arm	2.75	N
vliegtuig	straalvliegtuig	7.33	N
vrouw	man	5.08	N
paard	veulen	5.75	N
actrice	acteur	8.33	N
leraar	instructeur	7.67	N
film	filmrol	3.92	N
vogel	havik	4.52	N
woord	woordenboek	2.48	N
geld	salaris	6.29	N
hond	kat	3.26	N
gebied	regio	8.46	N
marine	leger	6.68	N
boek	literatuur	6.74	N
kleding	kast	3.20	N
zonsondergang	zonsopgang	3.67	N
kind	volwassen	3.10	N
koe	vee	6.72	N
boek	verhaal	5.15	N
winter	zomer	4.16	N
taxi	taxi's	8.17	N
boom	esdoorn	4.05	N
bed	slaapkamer	2.52	N
dak	plafond	6.25	N
ziekte	infectie	6.07	N
arm	schouder	4.76	N
schaap	lam	4.94	N
dame	meneer	2.55	N
boot	anker	1.98	N
priester	monnik	3.98	N
teen	vinger	3.25	N
rivier	stroom	5.33	N
boosheid	woede	8.87	N
datum	kalender	4.26	N
zee	oceaan	7.11	N
seconde	minuut	3.83	N
hand	duim	2.81	N
hout	stam	2.84	N
modder	vuil	5.25	N
hal	gang	7.99	N
weg	manier	3.87	N
muis	kat	2.35	N
politieagent	sheriff	4.80	N
dood	begrafenis	3.67	N
muziek	melodie	5.26	N
bier	alcohol	5.08	N
mond	lip	5.79	N
storm	orkaan	7.09	N
belasting	inkomen	2.93	N
bloem	viooltjes	6.12	N
papier	karton	4.51	N
vloer	plafond	1.93	N
strand	kust	7.20	N
staaf	gordijn	2.11	N
jachthond	vos	2.99	N
straat	auto	0.89	N
boot	dek	3.27	N
auto	toeter	1.83	N
vriend	gast	2.89	N
werkgever	werknemer	2.86	N
hand	pols	2.55	N
bal	kostuum	2.64	N
alcohol	brandewijn	3.75	N
overwinning	zege	7.93	N
telefoon	cel	2.21	N
deur	ingang	6.43	N
motel	herberg	6.85	N
kleding	stof	4.88	N
steak	vlees	6.13	N
nagel	duim	4.46	N
muziekgroep	orkest	8.04	N
boek	bijbel	4.72	N
bedrijf	industrie	4.18	N
winter	seizoen	5.08	N
decennium	eeuw	2.55	N
alcohol	jenever	4.57	N
hoed	jas	1.54	N
raam	deur	3.31	N
arm	pols	3.64	N
huis	appartement	6.30	N
glas	kristal	6.08	N
wijn	brandewijn	3.29	N
maker	producent	7.82	N
diner	ontbijt	2.50	N
arm	spier	2.86	N
bubbel	schuim	4.14	N
brood	meel	4.62	N
dood	tragedie	5.43	N
afwezigheid	aanwezigheid	2.54	N
pistool	kanon	4.19	N
gras	stro	3.93	N
bal	mand	1.81	N
slang	tuin	1.54	N
jongen	kind	3.78	N
kerk	koor	1.89	N
kleding	lade	1.82	N
toren	bel	1.96	N
vader	ouder	6.89	N
school	cijfer	3.76	N
ouder	volwassene	5.33	N
balk	gevangenis	1.42	N
auto	snelweg	3.12	N
woordenboek	definitie	2.42	N
deur	kelder	1.29	N
leger	legioen	6.66	N
metaal	aluminium	4.56	N
stoel	bank	2.67	N
wolk	mist	6.50	N
jongen	zoon	6.10	N
water	ijs	3.37	N
